timestamp,I0,Q0,I1,Q1,I2,Q2,I3,Q3,I4,Q4,I5,Q5,I6,Q6,I7,Q7,I8,Q8,I9,Q9,I10,Q10,I11,Q11,I12,Q12,I13,Q13,I14,Q14,I15,Q15,I16,Q16,I17,Q17,I18,Q18,I19,Q19,I20,Q20,I21,Q21,I22,Q22,I23,Q23,I24,Q24,I25,Q25,I26,Q26,I27,Q27,I28,Q28,I29,Q29,I30,Q30,I31,Q31,I32,Q32,I33,Q33,I34,Q34,I35,Q35,I36,Q36,I37,Q37,I38,Q38,I39,Q39,I40,Q40,I41,Q41,I42,Q42,I43,Q43,I44,Q44,I45,Q45,I46,Q46,I47,Q47,I48,Q48,I49,Q49,I50,Q50,I51,Q51
2025-05-21 14:18:17.376000,26,-1,27,-4,27,-6,27,-7,26,-8,25,-10,23,-12,22,-14,22,-16,22,-17,22,-18,22,-18,23,-16,22,-14,20,-12,18,-10,14,-9,10,-8,7,-9,4,-9,2,-10,0,-12,-1,-13,-1,-14,-1,-15,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,4,7,7,7,10,6,13,4,16,3,17,0,18,-2,17,-3,15,-4,12,-3,9,0,5,3,2,8,0,14,-1
2025-05-21 14:18:17.386000,26,-1,27,-4,27,-6,27,-7,26,-8,25,-10,23,-12,22,-14,22,-16,22,-17,22,-18,22,-18,23,-16,22,-14,20,-12,18,-10,14,-9,10,-8,7,-9,4,-9,2,-10,0,-12,-1,-13,-1,-14,-1,-15,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,4,7,7,7,10,6,13,4,16,3,17,0,18,-2,17,-3,15,-4,12,-3,9,0,5,3,2,8,0,14,-1
2025-05-21 14:18:17.396000,-22,15,-21,18,-20,20,-19,20,-18,21,-16,21,-14,22,-12,23,-10,25,-9,26,-9,26,-9,26,-10,26,-10,24,-10,21,-9,18,-7,15,-5,12,-2,11,1,9,3,9,5,9,7,9,8,10,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-5,1,-8,-1,-11,-3,-12,-6,-13,-9,-13,-12,-12,-14,-11,-15,-9,-16,-6,-15,-5,-13,-3,-9,-3,-5,-5,0,-8,4,-12,8
2025-05-21 14:18:17.406000,10,-25,8,-27,7,-28,5,-28,4,-28,2,-27,0,-27,-2,-27,-4,-27,-5,-28,-6,-28,-6,-29,-5,-28,-3,-27,-2,-24,-1,-21,-2,-17,-3,-14,-4,-11,-6,-9,-8,-7,-10,-6,-12,-5,-13,-6,-14,-6,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-4,6,-4,9,-4,12,-2,15,-1,16,2,16,5,16,7,14,8,12,8,9,8,7,5,5,1,4,-3,4,-8,5,-14
2025-05-21 14:18:17.416000,-1,26,1,27,3,28,5,27,6,26,8,25,9,24,11,23,13,22,15,22,16,23,16,23,15,24,13,23,10,21,8,18,7,15,7,11,7,8,8,5,9,2,10,0,12,-1,13,-1,14,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,4,-5,5,-9,6,-12,6,-15,5,-17,3,-19,1,-19,-2,-18,-4,-16,-5,-13,-5,-9,-4,-6,-1,-3,4,-2,9,-1,14
2025-05-21 14:18:17.426000,-1,26,1,27,3,28,5,27,6,26,8,25,9,24,11,23,13,22,15,22,16,23,16,23,15,24,13,23,10,21,8,18,7,15,7,11,7,8,8,5,9,2,10,0,12,-1,13,-1,14,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,4,-5,5,-9,6,-12,6,-15,5,-17,3,-19,1,-19,-2,-18,-4,-16,-5,-13,-5,-9,-4,-6,-1,-3,4,-2,9,-1,14
2025-05-21 14:18:17.436000,-1,26,2,27,4,28,5,28,7,27,8,25,9,24,11,23,13,22,15,22,16,23,16,23,15,24,13,23,10,21,8,18,7,15,7,11,7,8,8,5,9,2,10,1,12,0,13,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,4,-5,5,-8,6,-12,6,-15,5,-17,4,-18,1,-19,-1,-18,-3,-16,-4,-13,-4,-10,-3,-6,0,-3,4,-2,9,-1,14
2025-05-21 14:18:17.446000,-18,-21,-21,-20,-22,-19,-23,-18,-24,-17,-24,-15,-24,-12,-25,-10,-26,-9,-28,-7,-29,-7,-29,-7,-28,-8,-26,-9,-23,-10,-19,-9,-16,-7,-13,-4,-11,-2,-10,1,-10,4,-10,6,-10,8,-10,9,-11,9,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-5,-1,-8,2,-11,4,-13,7,-14,10,-14,12,-13,14,-11,15,-9,14,-7,11,-5,8,-4,4,-4,-1,-6,-5,-8,-9,-12
2025-05-21 14:18:17.456000,-18,-21,-21,-20,-22,-19,-23,-18,-24,-17,-24,-15,-24,-12,-25,-10,-26,-9,-28,-7,-29,-7,-29,-7,-28,-8,-26,-9,-23,-10,-19,-9,-16,-7,-13,-4,-11,-2,-10,1,-10,4,-10,6,-10,8,-10,9,-11,9,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-5,-1,-8,2,-11,4,-13,7,-14,10,-14,12,-13,14,-11,15,-9,14,-7,11,-5,8,-4,4,-4,-1,-6,-5,-8,-9,-12
2025-05-21 14:18:17.466000,-18,-21,-21,-20,-22,-19,-23,-18,-24,-17,-24,-15,-24,-12,-25,-10,-26,-9,-28,-7,-29,-7,-29,-7,-28,-8,-26,-9,-23,-10,-19,-9,-16,-7,-13,-4,-11,-2,-10,1,-10,4,-10,6,-10,8,-10,9,-11,9,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-5,-1,-8,2,-11,4,-13,7,-14,10,-14,12,-13,14,-11,15,-9,14,-7,11,-5,8,-4,4,-4,-1,-6,-5,-8,-9,-12
2025-05-21 14:18:17.476000,17,21,19,19,21,19,22,18,22,17,23,14,23,12,24,10,25,8,26,7,27,7,28,7,27,8,25,9,22,9,19,8,15,6,12,4,10,1,9,-2,9,-5,9,-7,9,-8,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,7,-2,10,-5,12,-8,13,-11,13,-13,12,-15,10,-16,8,-15,6,-13,4,-9,3,-5,3,0,5,5,7,9,11
2025-05-21 14:18:17.486000,-9,-26,-12,-26,-14,-26,-15,-25,-16,-24,-17,-22,-18,-20,-19,-18,-21,-17,-23,-17,-24,-17,-24,-17,-23,-18,-21,-18,-18,-17,-15,-15,-13,-12,-11,-9,-10,-6,-10,-2,-11,0,-12,3,-12,4,-13,4,-14,4,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,-6,2,-7,5,-9,8,-10,11,-10,14,-9,16,-8,17,-6,17,-4,15,-2,12,-1,9,-1,5,-3,1,-6,-2,-10,-5,-14
2025-05-21 14:18:17.496000,12,20,15,19,16,18,17,18,18,17,18,15,19,13,20,11,21,10,22,9,23,9,23,9,22,10,21,11,18,11,15,9,13,7,10,5,9,2,8,0,8,-3,9,-5,9,-6,10,-7,10,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-1,6,-3,8,-6,10,-8,11,-11,10,-13,9,-14,8,-14,6,-14,4,-11,3,-8,2,-4,2,0,4,3,7,6,11
2025-05-21 14:18:17.506000,12,20,15,19,16,18,17,18,18,17,18,15,19,13,20,11,21,10,22,9,23,9,23,9,22,10,21,11,18,11,15,9,13,7,10,5,9,2,8,0,8,-3,9,-5,9,-6,10,-7,10,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-1,6,-3,8,-6,10,-8,11,-11,10,-13,9,-14,8,-14,6,-14,4,-11,3,-8,2,-4,2,0,4,3,7,6,11
2025-05-21 14:18:17.516000,16,-22,14,-24,13,-26,12,-26,10,-26,8,-26,6,-26,4,-27,2,-28,1,-29,0,-29,0,-30,2,-29,3,-27,4,-24,4,-21,3,-17,1,-14,-2,-12,-4,-10,-6,-9,-9,-8,-10,-8,-11,-9,-12,-10,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-3,10,-2,13,0,15,3,16,6,15,8,14,10,12,11,10,11,7,10,5,7,4,2,4,-3,6,-8,9,-12
